ID,port,lon,lat,range,code,harbour,EID,X,Y
86,IFP,-166.3193,53.73333,-99,-99,IFP,86,412971.0334,5954660.414
87,UGA,-157.383,57.5,3,105,UGA,87,955922.472,6398664.917
88,UNA,-160.783,63.867,3,106,UNA,88,707127.8956,7089041.197
89,VAL,-146.267,61.117,3,42,VAL,89,1499646.748,6920804.138
90,VAN,-122.66,45.639,3,-99,VAN,90,3768282.821,6003114.922
91,WAS,-149.433,61.567,3,-99,WAS,91,1321260.894,6924939.117
92,WHT,-148.683,60.767,3,43,WHT,92,1382577.441,6847608.482
93,WRN,-132.367,56.467,3,44,WRN,93,2463250.556,6745282.763
94,YAK,-139.733,59.55,3,9,YAK,94,1904776.395,6875031.352
95,CDB,-162.694,55.207,3,-99,CDB,95,646737.2369,6120252.078
96,YAN,-157.1346,56.79899,3,-99,YAN,96,979772.3143,6322635.416
97,TOG2,-160.353,58.94,3,-99,TOG2,97,767307.9775,6542664.737
98,STP,-170.285,57.125,3,8,STP,98,180211.3001,6343701.33
99,PTL,-152.7663,57.8652,3,-99,PTL,99,1223413.762,6479493.824
100,SDB,-160.4564139,55.52205556,3,-99,SDB,100,786752.6194,6162268.478
101,SNK,-161.5121667,54.40620278,3,-99,SNK,101,726349.2906,6034322.647
